name;time;size
ParallelPrefixTree;0.73709;1000000
ParallelPrefixTree;0.09377;100000
ParallelPrefixTree;0.07226;75000
ParallelPrefixTree;0.051719999999999995;50000
ParallelPrefixTree;0.03137;25000
ParallelPrefixTree;0.02766;20000
ParallelPrefixTree;0.0235;15000
ParallelPrefixTree;0.01969;10000
ParallelPrefixTree;0.0175;7500
ParallelPrefixTree;0.0163;5000
ParallelPrefixTree;0.01559;4000
ParallelPrefixTree;0.014079999999999999;3000
ParallelPrefixTree;0.01362;2000
ParallelPrefixTree;0.01234;1000
ParallelPrefixTree;0.01204;500
ParallelPrefixTree;0.011899999999999999;200
ParallelPrefixTree;0.01158;100
ParallelPrefixTree;0.011479999999999999;10
ParallelPrefixTree;0.01158;1
